,empty_cavity_test_08-11-2021_08h56,empty_cavity_test_08-11-2021_08h56,empty_cavity_test_08-11-2021_08h57,empty_cavity_test_08-11-2021_08h57,empty_cavity_test_08-11-2021_08h57,empty_cavity_test_08-11-2021_08h58,empty_cavity_test_08-11-2021_08h58,empty_cavity_test_08-11-2021_08h58,empty_cavity_test_08-11-2021_08h59,empty_cavity_test_08-11-2021_08h59,empty_cavity_test_08-11-2021_08h59,empty_cavity_test_08-11-2021_09h00,empty_cavity_test_08-11-2021_09h00,empty_cavity_test_08-11-2021_09h00,empty_cavity_test_08-11-2021_09h01,empty_cavity_test_08-11-2021_09h01,empty_cavity_test_08-11-2021_09h01,empty_cavity_test_08-11-2021_09h02,empty_cavity_test_08-11-2021_09h02,empty_cavity_test_08-11-2021_09h02,empty_cavity_test_08-11-2021_09h02,empty_cavity_test_08-11-2021_09h03,empty_cavity_test_08-11-2021_09h03,empty_cavity_test_08-11-2021_09h03,empty_cavity_test_08-11-2021_09h04,empty_cavity_test_08-11-2021_09h04,empty_cavity_test_08-11-2021_09h04,empty_cavity_test_08-11-2021_09h05,empty_cavity_test_08-11-2021_09h05,empty_cavity_test_08-11-2021_09h05,empty_cavity_test_08-11-2021_09h06,empty_cavity_test_08-11-2021_09h06,empty_cavity_test_08-11-2021_09h06,empty_cavity_test_08-11-2021_09h07,empty_cavity_test_08-11-2021_09h07,empty_cavity_test_08-11-2021_09h07,empty_cavity_test_08-11-2021_09h08,empty_cavity_test_08-11-2021_09h08,empty_cavity_test_08-11-2021_09h08,empty_cavity_test_08-11-2021_09h09,empty_cavity_test_08-11-2021_09h09,empty_cavity_test_08-11-2021_09h09,empty_cavity_test_08-11-2021_09h10,empty_cavity_test_08-11-2021_09h10,empty_cavity_test_08-11-2021_09h10,empty_cavity_test_08-11-2021_09h10,empty_cavity_test_08-11-2021_09h11,empty_cavity_test_08-11-2021_09h11,empty_cavity_test_08-11-2021_09h11,empty_cavity_test_08-11-2021_09h12,empty_cavity_test_08-11-2021_09h12,empty_cavity_test_08-11-2021_09h12,empty_cavity_test_08-11-2021_09h13,empty_cavity_test_08-11-2021_09h13,empty_cavity_test_08-11-2021_09h13,empty_cavity_test_08-11-2021_09h14,empty_cavity_test_08-11-2021_09h14,empty_cavity_test_08-11-2021_09h14,empty_cavity_test_08-11-2021_09h15,empty_cavity_test_08-11-2021_09h15,empty_cavity_test_08-11-2021_09h15,empty_cavity_test_08-11-2021_09h16,empty_cavity_test_08-11-2021_09h16,empty_cavity_test_08-11-2021_09h16,empty_cavity_test_08-11-2021_09h16,empty_cavity_test_08-11-2021_09h17,empty_cavity_test_08-11-2021_09h17,empty_cavity_test_08-11-2021_09h17,empty_cavity_test_08-11-2021_09h18,empty_cavity_test_08-11-2021_09h18,empty_cavity_test_08-11-2021_09h18,empty_cavity_test_08-11-2021_09h19,empty_cavity_test_08-11-2021_09h19,empty_cavity_test_08-11-2021_09h19,
6958.854,0.8204846,0.8201348,0.8196757,0.8207065,0.8208663,0.821256,0.8214532,0.8222917,0.8223611,0.8226162,0.8217195,0.82306,0.8235928,0.823256,0.8233241,0.8242539,0.8235506,0.8249525,0.8261434,0.8251317,0.8266849,0.8269991,0.8274742,0.8277214,0.8282672,0.8269699,0.8275941,0.8279431,0.8285151,0.8283399,0.8291332,0.830057,0.830238,0.8309767,0.8303212,0.8308288,0.8310367,0.8316436,0.83253,0.8312597,0.8312994,0.8325348,0.8331389,0.8332343,0.8334317,0.8334537,0.8328817,0.833603,0.8335868,0.8335655,0.8346524,0.8349354,0.834186,0.8344225,0.8357931,0.835726,0.835594,0.8352386,0.8366337,0.8364493,0.8370283,0.8360441,0.8373531,0.8379357,0.8375718,0.8375047,0.8385883,0.8376456,0.83911,0.8386526,0.8396239,0.8390867,0.8395427,0.8395609,
6954.996,0.8330641,0.833109,0.8322659,0.8330034,0.8335693,0.8331845,0.8341338,0.8346774,0.8346798,0.8345783,0.8342518,0.8357068,0.8358477,0.8361282,0.8360904,0.8371372,0.8366112,0.8382627,0.8387644,0.8383039,0.8391519,0.8398421,0.8400631,0.8405018,0.8411968,0.8394465,0.8403617,0.8406804,0.8409526,0.8413805,0.8420809,0.8424163,0.8427592,0.8441917,0.8430095,0.8435771,0.8439961,0.8443718,0.8454864,0.844936,0.8443045,0.8456286,0.8465008,0.8464972,0.8457485,0.8464577,0.8460709,0.8464184,0.8466614,0.8462097,0.8479246,0.8480281,0.8470347,0.8471975,0.8490739,0.8485714,0.8488454,0.8482736,0.8494716,0.8499426,0.8503569,0.8493505,0.8508286,0.8509636,0.8506452,0.8516507,0.8515889,0.8507294,0.8524224,0.8518366,0.8528985,0.8519032,0.8526847,0.8528184,
6951.139,0.8461504,0.8468118,0.8459233,0.8457497,0.8467159,0.8458551,0.8473353,0.8476352,0.8476987,0.8476118,0.8474786,0.8491051,0.849006,0.849234,0.8492723,0.850937,0.8507944,0.8520647,0.8521991,0.852021,0.8524817,0.8529139,0.8531671,0.8537679,0.8546863,0.8529729,0.8540637,0.8542228,0.8543648,0.8552421,0.8557925,0.8559621,0.8557963,0.8575443,0.8562168,0.8574006,0.8572548,0.8575846,0.8584217,0.8588222,0.85777,0.8589508,0.8602011,0.8600337,0.8590435,0.8596551,0.8597432,0.8600575,0.8603621,0.8599274,0.8611189,0.8612233,0.8609165,0.8610045,0.8624192,0.8616296,0.8628101,0.8619226,0.862801,0.863659,0.8637131,0.8634272,0.8644263,0.8645002,0.8641858,0.8657439,0.8650983,0.8643887,0.8661433,0.8657527,0.8663372,0.8650824,0.8662923,0.8664814,
6947.281,0.8596489,0.860699,0.859948,0.859199,0.8598126,0.8592378,0.8604674,0.8609899,0.861604,0.8614592,0.8613487,0.8628109,0.8623378,0.862618,0.8628005,0.8645162,0.8650748,0.8658695,0.8662577,0.8659182,0.8659036,0.8663517,0.8668475,0.867139,0.8682752,0.8671218,0.8679479,0.8678895,0.8682928,0.8695396,0.8693839,0.8702804,0.869134,0.870461,0.8696935,0.8713461,0.8707952,0.8712266,0.8719164,0.8724478,0.8711948,0.8726471,0.8737843,0.873848,0.872687,0.8727034,0.8735111,0.8738497,0.8743824,0.8743184,0.8744817,0.8746073,0.8750472,0.8755999,0.875615,0.874703,0.8768603,0.8754593,0.8766484,0.8768902,0.8767332,0.8777828,0.8775512,0.8777279,0.8777446,0.8786799,0.8787517,0.8778926,0.879384,0.8795927,0.879663,0.8786284,0.8800245,0.8798918,
6943.424,0.8731,0.8741586,0.8735835,0.8728926,0.8728007,0.8727887,0.8734825,0.8743284,0.8754852,0.8749789,0.875146,0.8762814,0.8754711,0.876152,0.8764916,0.8773206,0.8785658,0.8790072,0.8795439,0.8796343,0.8790872,0.8796513,0.8802309,0.8803509,0.8814053,0.88076,0.8810856,0.881375,0.8816634,0.8833246,0.8824843,0.8835714,0.8824273,0.8829816,0.883015,0.8844967,0.8840722,0.8848181,0.8855473,0.8855852,0.8845896,0.886327,0.8865594,0.8870845,0.8859774,0.8857186,0.8867491,0.8871719,0.8881109,0.8882664,0.8879338,0.8877467,0.8883601,0.8893259,0.8885098,0.8876086,0.8900503,0.8886939,0.890042,0.8894336,0.8896145,0.8913021,0.8903858,0.8899123,0.8904319,0.8906063,0.8915594,0.8906437,0.8916984,0.8923525,0.8923683,0.8919687,0.8933102,0.8924468,
6939.567,0.8861017,0.8871346,0.8866614,0.8863803,0.8862368,0.886159,0.8868014,0.8873776,0.8885882,0.8879708,0.8881493,0.8891168,0.8884874,0.8896716,0.8898593,0.8896504,0.8910484,0.8914041,0.8918185,0.892868,0.8920199,0.8924295,0.8928921,0.8931164,0.8940462,0.8936789,0.8934273,0.8945726,0.8945273,0.8960044,0.8950784,0.8951917,0.8955485,0.8953789,0.8957925,0.8971385,0.8967121,0.8977789,0.8982362,0.8982054,0.89784,0.8988352,0.8983431,0.8992803,0.8987766,0.8986642,0.8993369,0.9000121,0.9008901,0.9009736,0.9002965,0.9001898,0.9007567,0.9011047,0.9008384,0.9005347,0.9022624,0.9015847,0.902155,0.9015672,0.9022864,0.9031913,0.9028287,0.9015223,0.9022951,0.902679,0.9034701,0.9026338,0.9035918,0.9040324,0.9043336,0.904337,0.9053196,0.9041992,
6935.709,0.8987669,0.8997567,0.8989798,0.899507,0.8998407,0.8987318,0.9000005,0.8998157,0.9007918,0.900592,0.9002106,0.9013154,0.9010612,0.9029346,0.9025138,0.9016741,0.9026798,0.903614,0.9039418,0.9051625,0.9042937,0.9045106,0.9050909,0.9052092,0.9059762,0.9059312,0.905479,0.9070387,0.9067732,0.9073819,0.9067157,0.9062414,0.9077195,0.9074364,0.9076912,0.9088733,0.9086936,0.9098364,0.9097222,0.9096841,0.9101701,0.9099571,0.9096361,0.9104928,0.9105476,0.910629,0.9114056,0.9119292,0.9124449,0.9123171,0.9110416,0.9117092,0.9123927,0.9115211,0.9124328,0.9130574,0.9137653,0.913204,0.9132524,0.9129576,0.9138861,0.9138021,0.914321,0.9128079,0.9138581,0.9146909,0.9146389,0.9139965,0.9147832,0.9151062,0.9156604,0.9153332,0.9156722,0.9150542,
6931.852,0.9106386,0.911634,0.9102717,0.9119014,0.9123237,0.9100742,0.9119067,0.911608,0.9120567,0.9123393,0.9110942,0.9127992,0.9126996,0.9150875,0.9138705,0.9134454,0.9138011,0.9153613,0.91571,0.916019,0.9155695,0.9156485,0.9164423,0.9162568,0.9166107,0.9169236,0.9169124,0.9181781,0.9177592,0.9174324,0.9172866,0.9169819,0.9182259,0.9185341,0.9183297,0.9191365,0.9198282,0.9205713,0.9199115,0.9195457,0.9207252,0.9202697,0.9205626,0.9202894,0.9210032,0.9209539,0.922252,0.9222201,0.9225181,0.9222825,0.9210837,0.9220483,0.9227021,0.9211649,0.9229085,0.9238099,0.9240305,0.9227888,0.9234908,0.9226037,0.9238028,0.9233479,0.9242823,0.9230773,0.9245311,0.9251733,0.9244298,0.924234,0.9246444,0.9251907,0.9260898,0.9250912,0.9248571,0.9246093,
6927.994,0.921001,0.9223909,0.9205226,0.9226909,0.9228513,0.9204029,0.9222259,0.9224333,0.9225096,0.9228291,0.9207141,0.9231954,0.9231561,0.9250228,0.9237155,0.9244895,0.9243852,0.9255791,0.9260001,0.9252361,0.9260535,0.9256594,0.9260773,0.9256933,0.9259327,0.9263562,0.9268141,0.9277965,0.9274226,0.9263918,0.9268164,0.9265237,0.9274534,0.9282749,0.9276157,0.9282957,0.9294367,0.9295408,0.9286155,0.9281631,0.929059,0.9294018,0.9301826,0.9287595,0.9304299,0.9295769,0.9310318,0.9308845,0.9308344,0.930656,0.9304577,0.9310502,0.9312041,0.929851,0.9315888,0.9322009,0.9321495,0.9309824,0.9324304,0.930316,0.932022,0.9315606,0.9323976,0.9318978,0.933339,0.9334096,0.9325139,0.9327027,0.9332672,0.9333005,0.9347447,0.9334784,0.9329708,0.9328329,
6924.137,0.9299046,0.9316065,0.9296784,0.9312544,0.9314383,0.9299111,0.9312251,0.9315274,0.932056,0.9318989,0.9295543,0.932025,0.9323485,0.9327288,0.9323844,0.9337727,0.9336098,0.9337603,0.9340333,0.9330863,0.9353754,0.9342866,0.9339836,0.9336515,0.9341818,0.9342184,0.93493,0.9359456,0.9353217,0.934325,0.9348308,0.9344794,0.9355136,0.9364201,0.9356393,0.9361163,0.9368618,0.9369356,0.9356803,0.9360649,0.9356773,0.9368355,0.9375288,0.9364283,0.9382056,0.9365956,0.9378707,0.9383196,0.9375444,0.9373099,0.9380169,0.938562,0.9380007,0.9371775,0.9384043,0.9387767,0.9380412,0.9383754,0.9394386,0.9368294,0.9384994,0.9382219,0.938484,0.9393823,0.9398805,0.9397644,0.9390731,0.9392915,0.9404221,0.9391286,0.9406039,0.9399381,0.9395732,0.939721,
6920.279,0.9373842,0.9383612,0.937282,0.937804,0.9381883,0.9382985,0.9383996,0.9385782,0.9395372,0.9387573,0.9375867,0.9388978,0.9397048,0.9391893,0.9396114,0.9408224,0.9406994,0.9399601,0.9399835,0.9395005,0.9422264,0.9413111,0.9406334,0.9402076,0.9409232,0.9401292,0.9414046,0.942065,0.9409555,0.9405898,0.9408247,0.9407097,0.9416306,0.9425563,0.9420929,0.9418119,0.9421973,0.9425066,0.9409883,0.9425993,0.9410567,0.9426607,0.9426363,0.9426952,0.9433888,0.9422227,0.9429089,0.9439766,0.9425896,0.942516,0.9434081,0.9439067,0.9430375,0.9428381,0.9433904,0.9437888,0.9425578,0.9441303,0.9440027,0.9423006,0.9429957,0.943134,0.9425646,0.9448557,0.9443435,0.9447208,0.9438682,0.9440305,0.9450267,0.9433032,0.9439293,0.9442218,0.944354,0.9446472,
6916.422,0.9432821,0.9427122,0.9430667,0.9428166,0.9432779,0.9446808,0.9433638,0.943758,0.9440927,0.9432072,0.943653,0.9437767,0.9445716,0.9443032,0.944742,0.9455978,0.9454815,0.9442936,0.9445043,0.9439572,0.9463006,0.946322,0.9455574,0.944733,0.9455726,0.9442835,0.9461498,0.9458573,0.9449313,0.944611,0.9447516,0.9449232,0.9456097,0.9462464,0.9463086,0.9453397,0.9457737,0.9455181,0.9449928,0.9466431,0.9446621,0.9464769,0.9459705,0.9467022,0.9459592,0.9458895,0.9460237,0.9470842,0.9457405,0.9464267,0.9466238,0.9468321,0.9461306,0.9466892,0.9465111,0.9469061,0.9460201,0.9471896,0.9461837,0.9459975,0.9455849,0.9460925,0.9451782,0.9473256,0.9471453,0.9478505,0.9464765,0.9467474,0.9467493,0.9461941,0.9461389,0.9466672,0.9470066,0.9471005,
6912.564,0.9473223,0.945776,0.9471413,0.9462736,0.9468805,0.948135,0.9465795,0.947224,0.9465899,0.9462198,0.9468699,0.9467197,0.9471615,0.9473064,0.9476953,0.948096,0.9480119,0.94683,0.9475458,0.9463481,0.948383,0.9488846,0.9477239,0.9472877,0.9477887,0.947036,0.9485323,0.9476663,0.9472823,0.9467342,0.9470091,0.947126,0.9477733,0.9477974,0.9479772,0.9469519,0.9476511,0.9467515,0.9474177,0.9482048,0.946411,0.9479631,0.9475109,0.9483548,0.946613,0.947019,0.9472857,0.9480668,0.947323,0.9483659,0.9474906,0.9480294,0.9475322,0.9482433,0.9480335,0.9478621,0.9476482,0.9478172,0.9464602,0.9473674,0.9465672,0.9468451,0.946252,0.9473584,0.9482837,0.9485672,0.9468675,0.9473118,0.9467856,0.9471895,0.9474176,0.9476309,0.9474958,0.9473807,
6908.707,0.9490969,0.9476897,0.9489326,0.9479114,0.9486984,0.9491286,0.9481788,0.9490168,0.9480374,0.9479234,0.9476855,0.9476777,0.9478977,0.9485633,0.9488112,0.9487482,0.9484554,0.9474116,0.9485245,0.946992,0.9488751,0.9493625,0.9472597,0.9481165,0.9474906,0.9477732,0.9482496,0.9476465,0.9473768,0.9475449,0.9475474,0.9474719,0.9479163,0.9478438,0.9475461,0.946875,0.9479061,0.9473404,0.9473385,0.9477368,0.9467624,0.9474338,0.946881,0.947863,0.9459775,0.9465213,0.9467565,0.9471179,0.947263,0.9477335,0.9466832,0.9476799,0.9472746,0.9471811,0.9476495,0.9465815,0.9470729,0.9467834,0.945276,0.9463769,0.9459919,0.9455611,0.9452531,0.9460122,0.947552,0.9472906,0.9454105,0.945897,0.9459711,0.9458323,0.9465455,0.9468029,0.9462519,0.9460798,
6904.849,0.9485635,0.9476176,0.9480572,0.9474526,0.9483932,0.9486421,0.9475306,0.9487909,0.9479008,0.9473335,0.9467684,0.9468843,0.9467508,0.948046,0.9480796,0.9478133,0.946846,0.9458292,0.9470603,0.94612,0.9475219,0.9479948,0.9453165,0.9467258,0.9453275,0.9461091,0.9461163,0.9460424,0.9452057,0.9466624,0.9457992,0.945848,0.9458489,0.9458709,0.9453284,0.9453602,0.9462427,0.9462835,0.9451011,0.9454121,0.9452633,0.9449143,0.9439845,0.9452441,0.9436893,0.9446024,0.9446039,0.9441008,0.9447156,0.9446483,0.9444308,0.9451856,0.9447121,0.9442509,0.9447806,0.9434139,0.9443712,0.943831,0.9427188,0.9432731,0.9436616,0.9425392,0.9421925,0.9432607,0.9444507,0.9441373,0.9424196,0.9427285,0.9433765,0.9423309,0.9430128,0.9436442,0.9433156,0.9429684,
