;6\J6\˜;.Nº3.N2;®gÎ®g;._ø!._F ;¾'¾Z%;6€ð6€>;e2eh0;d|.dÊ,;~j†~jÔ;6oV)6oæ$;‡ð‡>;6\6'6\„%;®g`&®g®$;6€J6€˜;&€ò7&€@6;‡J‡˜;¾[æ¾[Ô;6€0	6€~;~j+~jl);¾[0=¾[~ ;eJe˜;6oì6o:;®gJ®g˜;~jà~j. ;._ö._D;6W¦,6Wô*;._J._˜;6€®36€ü1;¾[ˆ.¾[Ö,;&€œ&€ê;¾f¾´;._Î6._5;dìdÌ?;en#e¼!;¶3’¶0?;6o‚,6oÐ*;‡ø:‡F9;
370,000;0,09346104;0,09241247;0,09113693;0,09364653;0,09363079;0,09584665;0,09206343;0,09198666;0,09319401;0,09381914;0,0914979;0,0935154;0,09247065;0,09307051;0,09582424;0,0929141;0,09190416;0,09210443;0,09391737;0,09213018;0,09328842;0,08998346;0,09350729;0,09249163;0,09243393;0,09443521;0,09001446;0,0940218;0,09262705;0,09447479;0,09329605;0,0919857;0,09222269;0,09385347;0,09417295;0,09208441;0,09332609;
371,000;0,09392071;0,08977985;0,09281349;0,09234524;0,09010696;0,09080029;0,09020996;0,09198713;0,09167862;0,08974171;0,09063148;0,09000015;0,09076881;0,0911088;0,09041643;0,09091234;0,08971024;0,09033728;0,08900785;0,09067583;0,09052896;0,09038019;0,08975363;0,09152174;0,09050274;0,0921545;0,09163189;0,09108257;0,09259319;0,09063005;0,09206438;0,09247875;0,091434;0,09133816;0,09008837;0,09070253;0,08972645;
372,000;0,09332132;0,09256887;0,09510756;0,09191322;0,09414577;0,09428406;0,09332609;0,09240675;0,09407854;0,09450674;0,09521008;0,0922761;0,09292507;0,09441853;0,09266281;0,09323406;0,09331989;0,0929122;0,09294558;0,09355068;0,09353161;0,09363079;0,09585047;0,09521961;0,0939889;0,09232855;0,09389114;0,09414244;0,09501266;0,09210014;0,09350204;0,09483624;0,0938592;0,0929141;0,09258509;0,09351301;0,09365416;
373,000;0,09294367;0,09509754;0,09235668;0,09387493;0,0944171;0,09342527;0,09304333;0,09432173;0,09359455;0,09464598;0,09341192;0,09413958;0,09545374;0,09368515;0,09310198;0,09487247;0,09209442;0,09437132;0,09255981;0,09299994;0,09331226;0,09403706;0,09523296;0,09416914;0,09517193;0,0926671;0,09289885;0,09237146;0,09311104;0,0928607;0,09375286;0,09437895;0,09691525;0,09346676;0,09354877;0,09319639;0,09505606;
374,000;0,09123993;0,0917654;0,08979988;0,09377718;0,09083652;0,08959341;0,09047651;0,09127998;0,09053993;0,08888388;0,09041882;0,09058714;0,09149647;0,08909178;0,09003019;0,09171104;0,09130621;0,09132814;0,08936071;0,08986807;0,08985519;0,09166098;0,08945847;0,09063721;0,09049511;0,0924139;0,09171152;0,08949375;0,09072638;0,09161091;0,09023094;0,09082651;0,09069157;0,09117508;0,09092999;0,09046316;0,09124517;
375,000;0,08892202;0,08854294;0,09211636;0,08955288;0,08923435;0,09058237;0,08927202;0,08975887;0,09131908;0,09086943;0,09047079;0,08935213;0,09166288;0,09063625;0,09017467;0,08944988;0,09206009;0,09060287;0,09121513;0,08954811;0,08996534;0,09156322;0,08931971;0,08936262;0,08975267;0,09063768;0,09112787;0,09075165;0,09195566;0,0909462;0,09100008;0,09092712;0,09118032;0,09042406;0,08994198;0,09031487;0,0910964;
376,000;0,09107351;0,09341717;0,09030151;0,09227467;0,09244204;0,09292698;0,09103394;0,09234381;0,09264803;0,09409285;0,09127283;0,09099245;0,09193468;0,09312057;0,09123516;0,09171867;0,09250879;0,09244204;0,09253025;0,09241104;0,09379721;0,09261465;0,09121227;0,09278202;0,09432554;0,09361887;0,09188652;0,09097481;0,09183216;0,09165192;0,09235191;0,09112978;0,09273434;0,09122372;0,09358358;0,09196281;0,09338236;
377,000;0,09011412;0,08866167;0,08869743;0,09188175;0,08670568;0,08896589;0,08766985;0,08898544;0,08766937;0,08899164;0,08950138;0,08803225;0,08693266;0,08789492;0,0878911;0,08838511;0,08781147;0,08978844;0,09059858;0,08861828;0,09152508;0,0876894;0,08875036;0,08918381;0,08908606;0,087605;0,09005594;0,08867979;0,08932018;0,08704758;0,08738947;0,08779812;0,08741665;0,08992529;0,09063816;0,08813667;0,0905261;
378,000;0,08835936;0,08883572;0,08875561;0,08812094;0,09008837;0,0883956;0,08879375;0,09085417;0,08903694;0,09110832;0,090168;0,09125376;0,09000301;0,08922863;0,0895071;0,0903368;0,09078693;0,09085751;0,09120512;0,08822203;0,09122467;0,08898878;0,09004784;0,09145308;0,0924077;0,09079838;0,09002733;0,09010601;0,09021521;0,08934546;0,08879137;0,09023094;0,09077501;0,08971167;0,0892086;0,08959341;0,09051466;
379,000;0,08921862;0,08973503;0,08847475;0,0904727;0,09054184;0,09085321;0,08813;0,08964109;0,08988047;0,09087706;0,09131241;0,08846045;0,0898242;0,08850479;0,08884716;0,08858633;0,08948803;0,09066391;0,08873034;0,09079218;0,08948565;0,09006977;0,09007263;0,09116793;0,09111071;0,09226274;0,09016562;0,08846331;0,08916903;0,0888052;0,08903742;0,08994865;0,08915806;0,08784819;0,09155846;0,09079933;0,0907588;
380,000;0,09041262;0,08698273;0,08879852;0,08895874;0,08633137;0,08804226;0,09006071;0,0881815;0,08869171;0,08799076;0,08981895;0,08909941;0,0897913;0,08825159;0,08857679;0,08749247;0,0889802;0,08759356;0,08917809;0,08776331;0,08752394;0,08756638;0,08701324;0,08763123;0,08792543;0,08871937;0,09053993;0,08751059;0,08845139;0,08904171;0,08902502;0,08764076;0,0861721;0,08472157;0,08943987;0,08989859;0,08919096;
381,000;0,08886719;0,09039259;0,09020615;0,09048557;0,09028435;0,08911133;0,09040022;0,09095621;0,09085274;0,09079456;0,0888896;0,08955956;0,09050655;0,08994389;0,08923626;0,09004211;0,08900309;0,09047604;0,0885725;0,08919621;0,09004688;0,0909605;0,0898385;0,08947277;0,08910608;0,0933733;0,08995724;0,09129667;0,08801317;0,08950424;0,08763552;0,08874273;0,08963299;0,08883047;0,08736563;0,08863449;0,09014702;
382,000;0,08866787;0,08860874;0,08931255;0,08896923;0,0885973;0,08841944;0,08744669;0,08877611;0,08879757;0,08828688;0,08959198;0,08915615;0,08934069;0,08797932;0,08857965;0,09054232;0,08771706;0,08909225;0,08644438;0,08798409;0,08443642;0,08581734;0,08705235;0,08864212;0,0886302;0,09025431;0,08637857;0,08524942;0,08809328;0,08787632;0,08760691;0,08593464;0,08996105;0,08783579;0,08707094;0,08902931;0,08926439;
383,000;0,08974266;0,08613586;0,08822775;0,08761454;0,08663321;0,08648062;0,08728695;0,08873034;0,08872557;0,08849812;0,08941126;0,08649254;0,08718348;0,08853769;0,08744335;0,08782291;0,08850574;0,08642244;0,0879159;0,08472967;0,08927965;0,08952427;0,08891106;0,08818769;0,08735323;0,08692408;0,09032297;0,08925343;0,08946943;0,08801508;0,0874486;0,08949614;0,08881187;0,08617449;0,08744526;0,0879488;0,08881807;
384,000;0,08595085;0,08839464;0,08742142;0,08706951;0,08921432;0,09171104;0,08915424;0,08796692;0,08748341;0,08933449;0,08988142;0,08764267;0,08587694;0,08936024;0,08916903;0,08772516;0,09006071;0,08639574;0,08810043;0,08967638;0,08892679;0,08761358;0,08948517;0,08683491;0,08989477;0,08766222;0,08835316;0,08961821;0,08794355;0,08865118;0,08911896;0,09010601;0,08866501;0,08717155;0,08789587;0,09126616;0,08751345;
385,000;0,08786631;0,08605862;0,08390284;0,08857775;0,08411837;0,08551598;0,08606529;0,08598852;0,08335257;0,08531952;0,08669806;0,08732557;0,08533001;0,0846858;0,08483267;0,08733273;0,08342886;0,08726263;0,08336449;0,08478069;0,0840416;0,08458328;0,08403587;0,08322716;0,08411551;0,08802605;0,08384895;0,08337784;0,08725214;0,08468103;0,08665657;0,0853405;0,08469915;0,08590603;0,08535004;0,08349562;0,083251;
386,000;0,08458996;0,08398533;0,08667994;0,08526278;0,08403635;0,08399153;0,08468676;0,08466339;0,08402824;0,08599806;0,08602858;0,0853281;0,08333921;0,08604574;0,08271027;0,08464861;0,08469582;0,0853138;0,08470631;0,0846796;0,08403015;0,08603764;0,08537292;0,08740473;0,08470631;0,08327246;0,0880332;0,08469343;0,08597851;0,0853591;0,08669043;0,08460951;0,08538389;0,08666611;0,08397675;0,08470583;0,08670044;
387,000;0,08528233;0,08723021;0,08489561;0,08439541;0,08845329;0,0857811;0,08838272;0,08703041;0,08694124;0,08652353;0,08910084;0,08772755;0,08850002;0,08834839;0,08981085;0,08703518;0,08710003;0,08707047;0,08766031;0,08633566;0,08766651;0,08836269;0,08765602;0,08826017;0,08846235;0,08589888;0,08482027;0,08708668;0,08639908;0,08690977;0,08843231;0,08320761;0,08979702;0,08640385;0,08662891;0,08701468;0,08631563;
388,000;0,08766031;0,08622313;0,08478355;0,08439779;0,08321476;0,0850234;0,08365917;0,08374262;0,08251762;0,08673954;0,08483553;0,08439112;0,08416557;0,08430958;0,08358955;0,08380365;0,08577013;0,0843091;0,08290243;0,08376265;0,08309698;0,08425808;0,08276701;0,08355904;0,08477497;0,08560705;0,08398819;0,08494616;0,08502054;0,08243036;0,08553505;0,08882618;0,08475065;0,08561802;0,08754587;0,08449221;0,08416557;
389,000;0,08367205;0,08359814;0,08593941;0,08297777;0,08238935;0,08462334;0,08501911;0,086164;0,08570671;0,08284187;0,08455467;0,08591413;0,08469963;0,08411646;0,0857439;0,08465338;0,085742;0,08456182;0,08498621;0,08528233;0,08690453;0,08444643;0,08482742;0,08387709;0,08405828;0,08382273;0,08592463;0,08358526;0,08453226;0,08530283;0,08245802;0,08570385;0,0847702;0,08283043;0,08272171;0,08666897;0,08278322;
390,000;0,08527279;0,08530331;0,08165932;0,08459711;0,08600807;0,0863018;0,08333349;0,08687401;0,08221531;0,08620787;0,08447361;0,08535624;0,08532524;0,08186197;0,08307123;0,08120728;0,08551836;0,08450079;0,08565521;0,08556128;0,08545399;0,08525229;0,08842802;0,0852747;0,08506632;0,08560562;0,08390141;0,08346796;0,08550262;0,08487606;0,0820241;0,08322191;0,08475924;0,0849371;0,08331251;0,08463144;0,08524704;
391,000;0,08176613;0,08260965;0,08360052;0,08315468;0,07877302;0,08194542;0,08202457;0,08270788;0,07962751;0,07962179;0,08170462;0,08256912;0,08198023;0,0821557;0,08150053;0,08189392;0,0834446;0,08153677;0,08041096;0,08333826;0,08031797;0,08360863;0,08101654;0,08376646;0,08082819;0,0812664;0,0794096;0,08235931;0,08131361;0,08194828;0,08355093;0,08132553;0,08047819;0,08306646;0,0810113;0,08001661;0,08208704;
392,000;0,0847559;0,08198977;0,0862155;0,08290625;0,08329582;0,08482933;0,08324671;0,08231878;0,08184004;0,0853219;0,08405638;0,08400774;0,08368826;0,08514595;0,08456755;0,08377361;0,08423424;0,08330774;0,08345509;0,08475351;0,08427286;0,08352852;0,08488798;0,08425331;0,08485842;0,0822072;0,08344984;0,08455372;0,08376694;0,08263683;0,08420897;0,0837698;0,0836792;0,08311653;0,08338785;0,08472061;0,08793926;
393,000;0,08491945;0,0850234;0,08316135;0,08588362;0,08752346;0,08634853;0,08330441;0,08642101;0,08488464;0,08383894;0,08367252;0,08396721;0,08420706;0,08416653;0,08529758;0,08521652;0,0833106;0,08456945;0,08535576;0,08437872;0,08673477;0,08615541;0,08397865;0,08534098;0,0839448;0,08498049;0,08422327;0,08414888;0,08726072;0,08589029;0,08548403;0,08639145;0,08296061;0,08624363;0,08441019;0,08406973;0,08494234;
394,000;0,08398724;0,08065748;0,08293772;0,08159351;0,08070421;0,07958031;0,08351326;0,08319855;0,08124828;0,0828681;0,08200836;0,08232403;0,08248425;0,08020115;0,08055925;0,08198118;0,08072758;0,08414459;0,0815239;0,08041096;0,08228874;0,08325863;0,08138132;0,08076859;0,08156013;0,08060884;0,08242846;0,08084154;0,08089924;0,08125448;0,0821619;0,0816288;0,08233309;0,08083773;0,08283329;0,08186245;0,0805192;
395,000;0,08133268;0,08042336;0,0802598;0,08071423;0,08258915;0,08153772;0,08328915;0,07943487;0,08201838;0,08226633;0,07967281;0,08182144;0,08137512;0,07869053;0,08046436;0,07885361;0,08108044;0,08064651;0,08105135;0,07939053;0,08280659;0,08069754;0,08197546;0,07934189;0,08120871;0,08074903;0,08178186;0,08004236;0,07995939;0,08119345;0,08167124;0,07963514;0,0812788;0,08238077;0,08021259;0,08382225;0,08319187;
396,000;0,08453226;0,0843277;0,0803175;0,08736372;0,08379602;0,08237171;0,0798707;0,08192205;0,08069134;0,08322573;0,0789299;0,08057833;0,08020878;0,08066845;0,08173323;0,08087683;0,08345652;0,08247995;0,08308125;0,08199596;0,08101463;0,08048487;0,0809083;0,0821023;0,08210087;0,08535433;0,08360434;0,08102036;0,08413315;0,08245897;0,08160257;0,08242846;0,08079481;0,08205843;0,08345461;0,08134365;0,08342409;
397,000;0,08132935;0,07720184;0,07976246;0,07739305;0,07721186;0,07804346;0,07875204;0,08029509;0,0773592;0,07855272;0,07887459;0,07622004;0,07861948;0,07945013;0,08001328;0,08138275;0,07853556;0,07899189;0,08010626;0,07745743;0,07760048;0,07847548;0,07982635;0,08001852;0,08032084;0,07690287;0,07985878;0,08174229;0,07917023;0,07802153;0,07659721;0,08020592;0,07783079;0,07904434;0,07990456;0,07799292;0,07866812;
398,000;0,08134651;0,08036566;0,08221579;0,08020449;0,08218431;0,0821538;0,08269548;0,0831337;0,0812192;0,08447409;0,0811553;0,07982969;0,08387661;0,08347559;0,08161688;0,08477926;0,08014059;0,08270741;0,08281517;0,08214092;0,08279657;0,08258486;0,08528233;0,08301497;0,08228445;0,08016348;0,08235693;0,08253002;0,08157778;0,08240223;0,08262444;0,08245754;0,08499575;0,08362103;0,0855751;0,08210611;0,08427477;
399,000;0,07736874;0,08021212;0,07752037;0,07866049;0,07790184;0,07578611;0,0769949;0,07723761;0,07806349;0,07815647;0,077847;0,0775075;0,07931519;0,07734537;0,07707787;0,07786512;0,07798529;0,07756138;0,07579041;0,07884693;0,07749605;0,07529545;0,07795763;0,07687998;0,07998943;0,07941771;0,07776594;0,07717419;0,07815218;0,07819223;0,08076763;0,07913208;0,07720232;0,07790899;0,07836723;0,07884741;0,07805872;
400,000;0,07838392;0,07394314;0,0783453;0,07584286;0,07665205;0,075562;0,07938242;0,07722044;0,07861614;0,07852364;0,07725811;0,07501554;0,07573414;0,07850122;0,07573462;0,07559109;0,07623816;0,07787609;0,07629919;0,07690954;0,07578611;0,07804394;0,07676697;0,07775831;0,07760096;0,07521057;0,0792861;0,0782485;0,07776594;0,0785923;0,07846737;0,0784955;0,0779314;0,0768795;0,07857084;0,07693577;0,07711029;
401,000;0,0778203;0,07971334;0,07700825;0,07861328;0,0815382;0,08052921;0,07809496;0,07831669;0,08229208;0,07775831;0,07705259;0,07910776;0,08055687;0,07926226;0,07944441;0,07941198;0,08194685;0,07790089;0,07737827;0,08113337;0,07810783;0,07807159;0,08069944;0,0776639;0,08167887;0,07976627;0,08029413;0,0788722;0,08116245;0,07990074;0,07892704;0,07885313;0,08109665;0,08035231;0,08260775;0,08344126;0,07815123;
402,000;0,08345079;0,07852173;0,07788658;0,07956553;0,07735395;0,07837152;0,07748318;0,0784502;0,07967949;0,07925224;0,08019257;0,08119678;0,07628822;0,079422;0,07947159;0,07968521;0,07846117;0,0766964;0,07914495;0,08120918;0,07765675;0,07691288;0,07802486;0,07860613;0,08104086;0,08146238;0,0784955;0,08104467;0,08200979;0,08035278;0,0802145;0,08042622;0,07780409;0,08121586;0,07952499;0,08024406;0,0801034;
403,000;0,07251501;0,07019234;0,07738304;0,072258;0,07290459;0,06952333;0,07376575;0,07457018;0,07547903;0,07221556;0,0715394;0,07467508;0,07538939;0,07300854;0,07475662;0,07287359;0,07122517;0,07380533;0,07399654;0,07563782;0,07394361;0,07114601;0,07368517;0,07116222;0,0703373;0,07230997;0,07546329;0,07317972;0,07498455;0,07235575;0,07389688;0,07135773;0,07540607;0,07399368;0,07572603;0,07138252;0,07322216;
404,000;0,08093882;0,08349323;0,07947111;0,08008242;0,08009577;0,08086872;0,08190632;0,08362293;0,0827651;0,08178234;0,07919121;0,08445358;0,08023024;0,08263254;0,08100462;0,0835886;0,08008051;0,08017206;0,0801301;0,08191633;0,07921934;0,08184195;0,08270121;0,08354998;0,08429813;0,08089209;0,08277941;0,08018827;0,07932234;0,07922983;0,08268499;0,08180332;0,08275747;0,08100414;0,07924891;0,07917976;0,07926607;
405,000;0,07993412;0,07976007;0,0775075;0,08169842;0,08062077;0,08065176;0,0790925;0,07895899;0,07982874;0,08161926;0,08073616;0,0807395;0,07996082;0,08238888;0,08073092;0,07901096;0,08076763;0,07901955;0,08078766;0,07901287;0,08333397;0,0790658;0,08064556;0,07809591;0,08143377;0,0815177;0,07988358;0,07741833;0,07908106;0,08079576;0,08160686;0,07992983;0,08163738;0,07992792;0,08329725;0,08249426;0,0799365;
406,000;0,07759523;0,07452297;0,07942009;0,078228;0,07217836;0,07355165;0,07966232;0,07642174;0,07536459;0,07757807;0,0773654;0,07849932;0,07783556;0,07613897;0,07620573;0,07790136;0,07584858;0,07550716;0,07682943;0,07628345;0,07605219;0,07978344;0,07454252;0,07640886;0,07452154;0,07350063;0,07799053;0,07875538;0,07612514;0,07787323;0,07761145;0,07849741;0,07955217;0,07779741;0,07439995;0,07785845;0,07699633;
407,000;0,07483912;0,0789609;0,0742507;0,07418156;0,0801878;0,07682705;0,07887554;0,07997227;0,07724237;0,07574511;0,08350945;0,07558107;0,07828188;0,07802439;0,07929659;0,07852697;0,07519865;0,08033514;0,07665014;0,07942629;0,07930326;0,08075476;0,07832766;0,08046246;0,07841635;0,07817173;0,07874918;0,07725477;0,07766962;0,07901335;0,0755415;0,07572031;0,07876301;0,07734394;0,07935572;0,07985878;0,07836008;
408,000;0,07781124;0,07845259;0,07528877;0,07817411;0,07304049;0,07503891;0,07499313;0,07518816;0,07340336;0,07607508;0,0746336;0,07642269;0,07764959;0,07374382;0,07601547;0,07763243;0,07826948;0,07678413;0,076087;0,07503414;0,07476854;0,07567549;0,07418919;0,07866621;0,07374573;0,07715893;0,07339621;0,07468843;0,07857943;0,07368326;0,0755868;0,07720518;0,07434654;0,07649136;0,07362747;0,07558107;0,07600594;
409,000;0,07542896;0,07296801;0,07570314;0,07302761;0,07519484;0,07222176;0,07364941;0,07528496;0,07356358;0,07226038;0,07443285;0,07418394;0,07607698;0,07493448;0,07399225;0,07332802;0,07350492;0,07382154;0,07338285;0,07193899;0,07415104;0,07350492;0,07320166;0,07301283;0,07186174;0,07196522;0,07302904;0,07255507;0,07591867;0,07221413;0,07055044;0,07276154;0,07440758;0,07458448;0,07194805;0,07520247;0,07290125;
410,000;0,07907104;0,07717991;0,07518578;0,07858086;0,07969713;0,07901764;0,07797337;0,0798912;0,07730341;0,07791328;0,07674074;0,07602072;0,07623816;0,07434368;0,07770681;0,07786655;0,07628775;0,07613802;0,07638884;0,08262682;0,0796299;0,07635832;0,07673645;0,07504416;0,07764864;0,07889795;0,07613897;0,07949829;0,07638693;0,077981;0,07294989;0,07667542;0,07863235;0,07624197;0,07740784;0,07402992;0,07705832;
411,000;0,07628202;0,07188225;0,07097054;0,07107973;0,07138014;0,07488012;0,07103682;0,07361364;0,07277727;0,0709219;0,07259417;0,06955528;0,07275629;0,07179451;0,0730238;0,07204771;0,07209492;0,07238483;0,07069349;0,07411242;0,07023191;0,07056761;0,07204294;0,07323694;0,06996822;0,0694294;0,07350588;0,07197142;0,07215548;0,07191706;0,07451057;0,07057762;0,07417774;0,07133818;0,07340288;0,07172918;0,07316303;
412,000;0,07587147;0,07476854;0,07880831;0,07383823;0,07677174;0,0775547;0,07855225;0,07430887;0,0768199;0,07513475;0,07682037;0,07613707;0,0779891;0,08058977;0,07642746;0,07869196;0,07722139;0,07581139;0,07903862;0,07445192;0,07604504;0,07443905;0,07560682;0,07617188;0,0736413;0,07403708;0,07522011;0,07762814;0,0755744;0,07650137;0,07385969;0,07404757;0,07637167;0,07590961;0,07593012;0,07705688;0,07623672;
413,000;0,07498312;0,07403278;0,0731864;0,07453299;0,07839155;0,0777998;0,07617569;0,07657623;0,07832432;0,07684755;0,07326794;0,0750699;0,07796192;0,07647467;0,07633114;0,07590199;0,07664537;0,07496214;0,07511234;0,07424593;0,07650709;0,07412958;0,0746932;0,07502508;0,07584715;0,07493877;0,07618189;0,0727644;0,07483053;0,07470417;0,07548571;0,07668924;0,07642221;0,07676268;0,07422686;0,0746789;0,07722998;
414,000;0,07183743;0,07095051;0,0720253;0,07254648;0,07017708;0,06963015;0,07351637;0,07184792;0,07361364;0,07308769;0,07323313;0,07422638;0,07107449;0,06980085;0,07120657;0,0713563;0,07183981;0,07514572;0,06849146;0,07370234;0,07060719;0,07388878;0,07047129;0,07129288;0,07274771;0,07041025;0,0728302;0,0717845;0,0730114;0,06934071;0,07441664;0,07128525;0,07066584;0,07257605;0,07218218;0,0690794;0,07321262;
415,000;0,07302475;0,07194519;0,0758543;0,07013178;0,07480431;0,07543039;0,07484102;0,07516336;0,07375908;0,07587719;0,07577515;0,07457066;0,07055092;0,0722332;0,0755682;0,07557249;0,07132673;0,0733881;0,07421446;0,0747838;0,07508659;0,07331896;0,07462406;0,07273531;0,07467604;0,0741663;0,0736289;0,07332516;0,07492781;0,07290459;0,07301855;0,07426405;0,07419157;0,07458878;0,07199717;0,07459354;0,07390022;
416,000;0,07465744;0,0781846;0,07439423;0,07492256;0,0759387;0,07607174;0,07303286;0,07868576;0,07552958;0,07844877;0,0791955;0,07132483;0,07782888;0,073524;0,07699966;0,07566404;0,07545233;0,07727289;0,0765934;0,0762763;0,075984;0,0723567;0,07867861;0,0767827;0,0735631;0,07802439;0,07771254;0,07386065;0,0750742;0,07576895;0,07675362;0,07677269;0,07450867;0,07550955;0,07559729;0,07382774;0,07433367;
417,000;0,07555532;0,06994152;0,07374763;0,07149553;0,0702343;0,06886768;0,07188177;0,07294703;0,06691599;0,0707016;0,07591438;0,07047653;0,07313824;0,06985807;0,0724988;0,07232761;0,07107019;0,07118988;0,06833696;0,07163954;0,07149029;0,07066154;0,07031202;0,0728116;0,0702548;0,06990671;0,0742259;0,07376242;0,07046747;0,07152081;0,06944942;0,07237434;0,07120705;0,07138062;0,07264471;0,06987047;0,07154608;
418,000;0,07644176;0,072855;0,07710457;0,07524395;0,07851171;0,08153296;0,07659197;0,07507133;0,07195854;0,07923508;0,07261944;0,07315302;0,07804871;0,0748415;0,07399178;0,07340145;0,07373714;0,07734346;0,07603168;0,07481813;0,07894993;0,07344151;0,07535219;0,07518435;0,0776;0,07647943;0,07346869;0,07786083;0,0750289;0,0725255;0,07492161;0,07507658;0,07575178;0,07413912;0,07443762;0,07658815;0,07777119;
419,000;0,0711956;0,07396173;0,06944895;0,07399225;0,07481241;0,0721612;0,06959915;0,07262802;0,07182217;0,07340813;0,07214832;0,07340813;0,07035542;0,07199097;0,07450199;0,07220936;0,07177162;0,07241058;0,07330465;0,0723362;0,07332087;0,07117748;0,07192659;0,07171297;0,06793213;0,07829952;0,07218218;0,0706768;0,07043314;0,06997681;0,07310295;0,07351542;0,0696702;0,07159948;0,07057142;0,06896925;0,0751605;
420,000;0,07535601;0,0704484;0,07600498;0,07244396;0,06920099;0,0717082;0,07512188;0,07336617;0,07038784;0,07448816;0,07177544;0,07163525;0,07202673;0,06966639;0,07257891;0,07354546;0,07127666;0,07214165;0,07141209;0,0672822;0,07321548;0,07430124;0,0733304;0,07239103;0,07403755;0,07284069;0,0742445;0,07585764;0,07541323;0,07446766;0,07162571;0,07367706;0,07298279;0,07227707;0,07295513;0,07198811;0,07257462;
421,000;0,07356024;0,0769043;0,07450581;0,07603645;0,07877588;0,07804346;0,0734396;0,07524395;0,075037;0,07151031;0,07227373;0,07508278;0,07426071;0,0712738;0,07616091;0,07501125;0,07604551;0,0760417;0,07420063;0,07684469;0,07611561;0,07528543;0,07339668;0,07419252;0,07145834;0,07603312;0,0772481;0,07735777;0,07151747;0,07239914;0,0722332;0,07328463;0,07534981;0,07525778;0,07806349;0,07345724;0,07512856;
422,000;0,07058096;0,07240963;0,07240963;0,07424593;0,07240963;0,07332659;0,07424593;0,0714941;0,07332659;0,07332659;0,07240963;0,07240963;0,07332659;0,07240963;0,07058096;0,07608986;0,07424593;0,07424593;0,07240963;0,0714941;0,07424593;0,07240963;0,0714941;0,07424593;0,07424593;0,07240963;0,0714941;0,07240963;0,07424593;0,07424593;0,07332659;0,07332659;0,07058096;0,07058096;0,07240963;0,07058096;0,07332659;
423,000;0,07180214;0,06832027;0,07078171;0,07068968;0,06827402;0,07091665;0,07158756;0,06921864;0,06964397;0,07172728;0,07084322;0,07003927;0,071733;0,07280684;0,06997299;0,0670557;0,07450104;0,06799078;0,07179785;0,07000256;0,07078075;0,06995249;0,06993723;0,07247972;0,06625271;0,06801796;0,07261705;0,07270479;0,07088041;0,07058382;0,0688839;0,07078409;0,07001829;0,07001019;0,06714106;0,07281446;0,07291555;
424,000;0,0733633;0,07727385;0,07225275;0,07257652;0,07643604;0,07541084;0,0711298;0,07610512;0,06973076;0,07426596;0,07442379;0,07519579;0,07316637;0,07620096;0,07358932;0,07443523;0,07309246;0,07223272;0,07300234;0,07327414;0,07325792;0,07307863;0,07331944;0,07144213;0,07658672;0,0725894;0,0701685;0,07324648;0,07614899;0,07164478;0,07502365;0,07460117;0,07317257;0,07458258;0,07381248;0,07411671;0,07811022;
425,000;0,07110739;0,06564331;0,06804371;0,06934643;0,06648874;0,06749201;0,06592083;0,06501102;0,0699482;0,06698227;0,06782055;0,06607771;0,0663228;0,06772804;0,0704217;0,06654787;0,06879663;0,06325197;0,06567144;0,06616259;0,06620979;0,06441355;0,06596804;0,06827116;0,06672764;0,06708241;0,0668292;0,06997395;0,06749916;0,06940699;0,07129288;0,06996059;0,06518316;0,07010412;0,06878901;0,06715059;0,06763315;
426,000;0,07282209;0,06867218;0,0710516;0,07006693;0,06953287;0,06612968;0,07133865;0,06972933;0,07197809;0,06833506;0,06863403;0,06945419;0,0693531;0,06839275;0,07055712;0,07069588;0,0718689;0,06747055;0,06986189;0,06814718;0,06981325;0,06965256;0,06729126;0,06790113;0,06980181;0,06829786;0,06828785;0,07212734;0,07195568;0,06829786;0,06567383;0,06884003;0,06854916;0,06989479;0,06834078;0,07144499;0,06785488;
427,000;0,06670284;0,07225704;0,06587982;0,07170916;0,07385206;0,07018185;0,0674262;0,07182646;0,07070398;0,0705781;0,07080173;0,07019186;0,06815434;0,07003307;0,06894207;0,06855679;0,06780815;0,0703578;0,0662837;0,06983566;0,07030869;0,07006407;0,06739569;0,07174969;0,07039404;0,07059813;0,06647968;0,06615448;0,07079315;0,06710148;0,07014608;0,07092762;0,07053709;0,07012796;0,07169104;0,0727706;0,06863928;
428,000;0,07001114;0,06729174;0,06819153;0,0694375;0,06496;0,06834221;0,06376505;0,06865406;0,06832838;0,06673765;0,06763935;0,06531954;0,06639433;0,06711102;0,06679058;0,0686698;0,06656837;0,07109976;0,06647444;0,06852293;0,06668186;0,06820917;0,06479883;0,06862259;0,06624794;0,0667181;0,06959724;0,06584787;0,07048512;0,06621075;0,06923437;0,06979895;0,0666523;0,06819963;0,06829309;0,06672478;0,06799459;
429,000;0,07167339;0,06898785;0,06875038;0,06999779;0,06997776;0,07222605;0,0734024;0,07098246;0,07114935;0,07050896;0,07572508;0,06836843;0,07324219;0,07333183;0,07038212;0,06946611;0,07292557;0,0723443;0,07428169;0,07177353;0,07415104;0,07204103;0,07203054;0,06960678;0,07062435;0,07064009;0,07356834;0,07215977;0,07257605;0,07059145;0,07336092;0,07148933;0,07102156;0,07205915;0,07147121;0,07213497;0,07409716;
